項目（令和３年（2021年）２月１日現在）,総面積（令和2年10月1日）［k㎡］,可住地面積（平成30年10月1日）［k㎡］,土地利用の状況（農地）（平成31年1月1日）［％］,土地利用の状況（宅地）（平成31年1月1日）［％］,土地利用の状況（山林）（平成31年1月1日）［％］,土地利用の状況（その他）（平成31年1月1日）［％］,人口（令和3年1月1日）［人］,人口（男）（令和3年1月1日）［人］,人口（女）（令和3年1月1日）［人］,人口密度（令和3年1月1日）［人／k㎡］,世帯数（令和3年1月1日）［世帯］,世帯人員（１世帯当たり人員）（令和3年1月1日）［人］,15歳未満人口（令和3年1月1日）［人］,15～64歳人口（令和3年1月1日）［人］,65歳以上人口（令和3年1月1日）［人］,15歳未満人口割合（令和3年1月1日）［％］,15～64歳人口割合（令和3年1月1日）［％］,65歳以上人口割合（令和3年1月1日）［％］,出生数（令和1年）［人］,死亡数（令和1年）［人］,"出生率（人口千対）（令和1年）［‰］
(人口千対)",死亡率（人口千対）（令和1年）［‰］,販売農家数（平成27年2月1日）［戸］,製造業事業所数（令和1年6月1日）［事業所］,製造業従業者数（令和1年6月1日）［人］,製造品出荷額等（平成30年）［百万円］,商業事業所数（平成28年6月1日）［事業所］,商業従業者数（平成28年6月1日）［人］,年間商品販売額（平成27年）［百万円］,"事業所数（民営事業所）（令和1年）［事業所］
",従業者数（民営事業所）（平成28年6月1日）［人］,産業別就業人口（第１次産業）（平成27年10月1日）［人］,産業別就業人口（第２次産業）（平成27年10月1日）［人］,産業別就業人口（第３次産業）（平成27年10月1日）［人］,産業別就業人口割合（第１次産業）（平成27年10月1日）［％］,産業別就業人口割合（第２次産業）（平成27年10月1日）［％］,産業別就業人口割合（第３次産業）（平成27年10月1日）［％］,市町村内総生産（名目）（平成30年度）［百万円］,市町村民所得（平成30年度）［百万円］,市町村民所得（１人当たり）（平成30年度）［千円］,水道普及率（平成30年度末）［％］,汚水処理人口普及率（令和1年度末）［％］,下水道普及率（令和1年度末）［％］,市町村道舗装率（平成30年4月1日）［％］,自動車保有台数（平成30年度末）［台］,歳入決算額（令和1年度）［千円］,歳出決算額（令和1年度）［千円］,財政力指数（令和1年度）［－］,歳出（義務的経費）（平成30年度）［％］,歳出（投資的経費）（平成30年度）［％］,市町村民税（平成30年度）［千円］,固定資産税（平成30年度）［千円］,市町村議会の議員数（現に在職する議員数）（令和2年5月1日）［人］,市町村の職員数（一般職員数）（平成31年4月1日）［人］,一般病院数（平成30年10月1日）［施設］,医療施設従事医師数（平成30年）［人］,医療施設従事医師数（10万人当たり）（平成30年）［人］,生活保護被保護世帯数（令和2年11月30日）［世帯］,保育所等数（０～５歳１万人当たり）（幼保連携型認定こども園、保育所型認定こども園及び保育所）（平成30年10月1日）［所］,幼稚園数（令和2年5月1日）［園］,幼稚園在園者数（令和2年5月1日）［人］,幼保連携型認定こども園数（令和2年5月1日）［園］,幼保連携型認定こども園在園者数（令和2年5月1日）［人］,小学校数（令和2年5月1日）［校］,小学校児童数（令和2年5月1日）［人］,中学校数（令和2年5月1日）［校］,中学校生徒数（令和2年5月1日）［人］,交通事故発生件数（令和2年）［件］
茨城県,"6,097.39","3,975.33",30.8,12.5,25.9,30.8,"2,852,499","1,425,424","1,427,075",467.8,"1,188,132",2.4,"333,527","1,639,476","845,864",11.8,58.2,30,"18,004","33,440",6.4,11.9,"57,239","5,058","273,749","13,036,042","24,536","192,947","6,868,784","128,847","1,233,534","78,996","399,707","864,715",5.88,29.75,64.37,"14,035,454","9,573,309","3,321",94.7,85.6,63,64.75,"2,572,401","1,251,645,266","1,191,315,385",0.71,45,15.9,"199,816,160","195,913,360",827,"22,544",153,"5,394",187.5,"22,906",44.58,238,"21,254",160,"21,998",475,"138,380",227,"72,436","6,049"
水戸市,217.32,182.58,33.9,21.5,13.6,31.1,"269,231","132,000","137,231","1,238.90","123,775",2.18,"33,398","157,529","71,635",12.7,60,27.3,"2,121","2,846",8,10.7,"2,637",210,"6,240","145,234","2,848","26,539","1,537,585","15,396","145,374","3,283","23,551","94,739",2.7,19.37,77.93,"1,269,529","965,794","3,573",99.4,91.8,79.2,84.14,"235,479","130,683,301","125,053,445",0.86,43,30.3,"21,737,380","16,011,801",28,"2,024",25,687,254.2,"4,086",41.57,30,"2,698",6,808,34,"13,519",17,"7,011",696
日立市,225.86,104.27,5.6,15.2,59.1,20,"173,232","86,215","87,017",767,"77,955",2.22,"17,549","97,691","56,684",10.2,56.8,33,902,"2,117",5.2,12.1,485,341,"22,476","1,075,261","1,382","10,192","352,148","7,562","88,827","1,078","27,480","45,104",1.46,37.31,61.23,"876,734","574,885","3,218",99.2,99.3,98.2,74.22,"140,436","77,965,358","73,527,549",0.84,44.3,22.9,"12,785,931","11,425,834",28,"1,386",12,307,171.8,"1,814",41.15,20,855,13,"1,852",26,"7,544",17,"4,620",383
土浦市,122.89,98.63,30.7,23.1,11.1,35.1,"137,898","68,820","69,078","1,122.10","61,161",2.25,"15,309","81,100","40,811",11.2,59.1,29.7,879,"1,673",6.5,12.3,"1,195",143,"13,995","629,858","1,406","11,932","487,822","7,567","75,552","2,203","16,441","46,403",3.39,25.28,71.34,"665,334","468,732","3,362",99.3,96.3,88.1,77.39,"121,860","53,759,435","51,693,953",0.87,52.9,12.2,"10,639,055","9,091,371",24,977,6,447,320.6,"1,143",40.63,13,"1,737",4,609,15,"6,306",8,"3,574",425
古河市,123.58,114.74,38.7,25,5.5,30.8,"138,375","69,289","69,086","1,119.70","56,234",2.46,"16,160","81,849","40,010",11.7,59.3,29,888,"1,578",6.5,11.5,"1,713",354,"17,849","1,314,128","1,239","9,168","268,478","6,435","57,575","2,754","25,568","38,670",4.11,38.17,57.72,"1,125,711","512,682","3,666",98.3,81.6,59.9,61.57,"118,883","51,689,610","50,371,058",0.75,52.8,8.5,"9,201,285","8,811,303",24,880,7,208,148.7,"1,568",46.93,8,957,11,"1,723",23,"6,955",9,"3,359",271
石岡市,215.53,126,33.8,11.4,36.9,17.9,"72,033","35,661","36,372",334.2,"28,268",2.55,"7,487","39,899","24,122",10.5,55.8,33.7,418,"1,037",5.8,14.4,"2,631",132,"5,275","248,154",650,"4,554","144,818","3,347","27,025","2,807","10,382","21,331",8.13,30.08,61.79,"278,427","220,640","2,986",92.8,88.5,56.8,60.12,"70,299","30,979,423","29,697,042",0.62,44.8,19.9,"4,219,326","4,348,697",22,648,7,86,116.4,777,57.14,6,525,2,242,19,"3,248",6,"1,711",152
結城市,65.76,63.4,53.8,20.3,4.2,21.7,"50,219","25,182","25,037",763.7,"19,424",2.59,"5,975","28,553","15,468",12,57.1,30.9,266,600,5.4,12.2,"1,035",159,"6,948","244,570",473,"3,475","101,792","2,402","20,621","1,748","9,370","13,608",7.07,37.9,55.04,"210,194","161,562","3,158",99.6,80.9,55.2,64.08,"46,905","20,593,338","19,813,556",0.73,50.5,9,"3,318,327","2,828,716",18,371,2,67,131,358,45.64,3,301,1,199,9,"2,565",3,"1,331",100
龍ケ崎市,78.59,68.8,42.5,17.8,8.1,31.6,"76,091","37,795","38,296",968.2,"32,200",2.36,"8,154","44,506","22,127",10.9,59.5,29.6,405,814,5.4,10.8,659,108,"7,422","283,639",534,"4,889","102,377","2,807","27,706",863,"9,555","23,852",2.52,27.88,69.6,"259,770","226,605","2,940",80,93,83.9,79.59,"57,566","26,136,808","25,016,359",0.76,54.8,7.2,"5,007,023","3,904,571",22,438,2,102,132.3,655,41.98,4,311,6,944,11,"3,549",7,"1,979",164
下妻市,80.88,77.05,53.3,18.5,4.2,24.1,"41,561","20,837","20,724",513.9,"16,036",2.59,"4,942","24,469","12,134",11.9,58.9,29.2,260,479,6.4,11.8,"1,278",148,"6,155","217,490",486,"3,492","115,102","2,450","19,570","1,337","8,013","12,045",6.25,37.45,56.3,"197,005","138,878","3,282",95.8,65.6,31.8,69.12,"50,119","18,619,045","17,645,904",0.69,45.2,12.8,"2,831,401","2,714,669",20,321,3,34,80.4,262,33.73,9,359,-,-,9,"2,157",3,"1,134",85
常総市,123.64,117.62,50,16.1,5.3,28.6,"59,199","29,744","29,455",478.8,"22,244",2.66,"6,722","33,807","18,132",11.5,57.6,30.9,295,733,5.2,12.8,"1,949",233,"13,082","482,197",584,"3,826","114,321","3,248","31,158","1,608","10,396","15,792",5.79,37.4,56.81,"347,219","203,954","3,380",92.9,79.3,28.7,68.31,"60,676","24,073,305","23,165,164",0.73,46.7,12.7,"4,330,704","4,383,241",22,494,3,59,97.8,343,53.8,6,307,4,583,14,"3,023",5,"1,621",98
